"id","Prediction"
0,"5653753"
1,"6923131"
2,"1149870"
3,"1149870"
4,"3745135"
5,"5017319"
6,"4491607"
7,"1149870"
8,"4952497"
9,"3218918"
10,"3218918"
11,"5444227"
12,"3745135"
13,"3745135"
14,"19696939"
15,"1999097"
16,"19696939"
17,"1149870"
18,"2021934"
19,"1149870"
20,"2055379"
21,"5525735"
22,"2999068"
23,"2999068"
24,"8904084"
25,"3778621"
26,"3447890"
27,"5435276"
28,"2371202"
29,"3261924"
30,"4100886"
31,"1763231"
32,"2371202"
33,"3261924"
34,"2371202"
35,"3028267"
36,"2371202"
37,"4554237"
38,"5461700"
39,"2371202"
40,"6836483"
41,"6836483"
42,"4952255"
43,"2732645"
44,"7865428"
45,"4264176"
46,"5595267"
47,"1763231"
48,"7201784"
49,"2058644"
50,"2156098"
51,"4100886"
52,"3273041"
53,"5595267"
54,"6941173"
55,"6941173"
56,"8630682"
57,"3164972"
58,"3600467"
59,"3600467"
60,"1619683"
61,"4350573"
62,"3164972"
63,"2551252"
64,"2551252"
65,"2551252"
66,"4052733"
67,"4052733"
68,"3836721"
69,"3452382"
70,"3982767"
71,"1756069"
72,"2525375"
73,"3347767"
74,"16549064"
75,"16549064"
76,"16549064"
77,"4758476"
78,"5500818"
79,"6313221"
80,"4250553"
81,"3807496"
82,"1904842"
83,"3351383"
84,"5906596"
85,"1270499"
86,"3351383"
87,"3807496"
88,"2083447"
89,"3426169"
90,"13575224"
91,"3807496"
92,"4067566"
93,"3871344"
94,"6412623"
95,"3871344"
96,"3871344"
97,"2344689"
98,"3753720"
99,"2792031"
100,"4219263"
101,"2025297"
102,"4758476"
103,"4758476"
104,"4067566"
105,"1270499"
106,"3784230"
107,"4219263"
108,"4067566"
109,"4219263"
110,"1847826"
111,"2993069"
112,"9652350"
113,"2097022"
114,"3376145"
115,"9652350"
116,"8894598"
117,"4155435"
118,"3810007"
119,"4155435"
120,"6694797"
121,"3445076"
122,"3445076"
123,"6694797"
124,"3780019"
125,"4780607"
126,"3376145"
127,"5787594"
128,"3780019"
129,"4286645"
130,"2025297"
131,"4286645"
132,"3199619"
133,"1270499"
134,"4780607"
135,"4780607"
136,"3780019"
137,"4780607"
138,"3780019"
139,"6363241"
140,"4286645"
141,"3780019"
142,"7217634"
143,"2025297"
144,"5787594"
145,"4780607"
146,"2544857"
147,"3008199"
148,"2544857"
149,"6363241"
150,"5787594"
151,"1270499"
152,"2544857"
153,"4780607"
154,"5787594"
155,"2544857"
156,"3939804"
157,"3939804"
158,"3780019"
159,"5787594"
