"id","Prediction"
0,4124385.327
1,3595687.814775
2,3194459.05524166
3,3159048.72786667
4,3648588.854025
5,4601396.32146667
6,4163937.55535833
7,3363021.2
8,5278954.28170833
9,4238067.68350833
10,4975519.08123333
11,4946380.47209167
12,6365404.38626667
13,6435555.26067501
14,4569337.814
15,6581340.37871666
16,4907581.94634166
17,3931707.474175
18,8558013.95969167
19,3421615.45280833
20,2401349.39169167
21,6695251.44198332
22,4499322.21568333
23,5512645.51454167
24,5456785.30163333
25,3987361.98874167
26,3530676.26598334
27,5271987.379775
28,3430028.83348334
29,5058265.42610834
30,4051273.49973333
31,3250020.1888
32,2936829.32007501
33,5457339.368525
34,2686639.36919167
35,7117555.33315001
36,4260176.09780001
37,4927878.18823333
38,3491065.8873
39,3425614.53158333
40,4781398.735725
41,4663804.01635
42,5292962.79621666
43,5582820.007675
44,5500316.91970833
45,4429245.75144166
46,3170188.77601667
47,2485779.47748333
48,5167589.1257
49,4591965.29088333
50,4501046.90398333
51,3341698.52448333
52,6282072.58570001
53,3000406.47831667
54,3500280.13724167
55,5123764.698075
56,6032578.94106667
57,3969512.9818
58,4671461.32804167
59,5267088.32589167
60,2990411.84076667
61,3808633.71350952
62,4266702.79865
63,4213557.46975
64,4765872.70601666
65,8185888.257825
66,4800698.55523333
67,6800493.037525
68,5334128.82639166
69,6580569.09218333
70,4088049.055225
71,2878845.718625
72,4353864.85882499
73,4819160.26889167
74,5354093.882375
75,4464622.68156666
76,5038183.82980833
77,4136323.466325
78,4967124.46043333
79,4470264.539375
80,5320670.74590001
81,7683533.30315001
82,3917604.74648334
83,4427873.87689167
84,6734287.65860833
85,1976859.93305833
86,5611594.25852499
87,7226647.68683333
88,4588843.78400834
89,3489865.631125
90,5232118.58723334
91,4393774.88862501
92,3885689.07800833
93,3702911.72119166
94,7794288.65851667
95,3189822.58870834
96,4787486.634175
97,4809261.9871
98,4392662.22664167
99,5992553.22244999
100,7354477.64051667
101,3195028.99093333
102,3767840.51941667
103,3581545.78045834
104,4166849.42419999
105,3620232.8812
106,4783526.9367
107,7843512.22002501
108,5002694.60599166
109,5137749.037775
110,5535394.38258333
111,4114893.12454167
112,6708717.70684167
113,4966970.37669167
114,4105145.50053334
115,4874969.18494166
116,3162593.00235833
117,4891170.10581667
118,4011306.125725
119,4844554.7773
120,5239158.598825
121,4870333.311775
122,5470461.76905
123,5462565.3815
124,3051345.08100833
125,4163163.221775
126,6246856.81573333
127,3766433.76441667
128,4304966.63271667
129,4861027.65534167
130,2661346.64871667
131,5261531.45050834
132,4996420.64555
133,3757450.80465
134,4677719.30040834
135,4235765.94871667
136,4155586.685975
137,4241996.23181667
138,4368164.53083333
139,4560355.53260834
140,6307388.56552499
141,2626063.16356667
142,5181376.70565833
143,2995714.87231667
144,6746647.08524167
145,4100853.04305834
146,4922414.52229167
147,3605839.46755
148,4500013.67209167
149,5029677.35225833
150,4319467.3391
151,2984855.28695
152,6727569.50770832
153,6800411.84122499
154,3600308.94548333
155,5293565.746775
156,5146097.20816667
157,6646656.813675
158,3693719.36205
159,4126397.43872499
160,2942465.367575
161,4627804.88343333
162,4181839.473525
163,8273457.337075
164,6396269.28941667
165,3244987.78770834
166,4385919.366
167,3643618.17016667
168,6027260.78859999
169,5340359.33067499
170,4225925.396175
171,3182069.14026666
172,3577658.80725833
173,8131649.75869168
174,6583799.72234167
175,2884570.51213334
176,6881122.14109166
177,5768012.67574167
178,4527184.64903333
179,3615159.1638
180,4532594.213775
181,4446794.80931666
182,4936686.06231667
183,4177078.63884166
184,5146878.37439167
185,3675534.17645
186,3998016.03165833
187,6027934.321275
188,5266285.94448333
189,4703540.850075
190,4451395.5838
191,4994497.307575
192,5951403.252675
193,5292104.4824
194,6248022.4378
195,6954376.75443333
196,4319937.84511667
197,2354733.76720833
198,3333249.35958334
199,6806879.47685
200,4404924.87455
201,3509666.03940833
202,4596515.62708334
203,7487680.63410834
204,5000578.53445834
205,7642768.73427501
206,5942400.13163333
207,4754635.62223333
208,5527070.49779166
209,3761079.42699167
210,4811593.473925
211,4895364.15598333
212,3080325.99398334
213,3413467.213425
214,6663807.17239166
215,2258004.55674167
216,4862025.57580833
217,5507319.75376666
218,4523397.24256667
219,2845878.25925834
220,7562101.81968335
221,5250766.13475834
222,5450850.04871667
223,4023283.26261667
224,5823255.04330834
225,4781212.70070833
226,3010902.83189167
227,6270125.52529167
228,3192921.44473334
229,5484934.44990833
230,4565177.76645834
231,7245179.38625833
232,6032123.29951667
233,4454923.56393333
234,3627749.37388333
235,4990879.05901667
236,5666235.73579166
237,3397459.86568453
238,4265385.89428334
239,4818144.30124167
240,4556114.00181667
241,4254711.52061667
242,3493820.83645
243,4609494.99498333
244,5542040.65034167
245,4939963.042425
246,3858869.059475
247,4927697.12336667
248,4602167.4488
249,4433201.99223333
250,2827372.32845834
251,4708637.83280833
252,5976478.79665833
253,4372444.26231666
254,4698455.07205
255,3605000.41768333
256,5654235.11941666
257,4605713.860075
258,3890888.976
259,3994350.59399166
260,4247064.53593333
261,5367653.6696
262,5506211.85049168
263,4511278.67685834
264,2181890.55034166
265,5906164.95703333
266,4252621.68319167
267,8394966.12436668
268,4977398.55045834
269,4241801.60380833
270,4141808.89396667
271,2749277.02825
272,4940057.89558333
273,4839400.56138333
274,4134462.93080834
275,6592370.06730833
276,6529247.36281667
277,5775491.34016667
278,5086675.80496666
279,5171779.64834167
280,5136367.93188334
281,3895900.57734167
282,3265646.6351
283,4107486.791125
284,4603778.72015833
285,2828307.5403
286,4912004.206675
287,4524003.56073333
288,4717458.28060834
289,3542470.85998333
290,4196606.87480834
291,4932450.12003333
292,3245593.2378
293,5161079.272075
294,3896512.01396667
295,5917075.29699999
296,7203690.21429166
297,7716121.35654167
298,6848841.04145833
299,5551880.01595833
300,4627435.60814167
301,5250940.51129167
302,6675345.21463333
303,7745059.30406667
304,4284759.96756667
305,5128056.53339167
306,4282050.05509166
307,5030395.50959166
308,2281902.69820833
309,4166268.67921666
310,4556080.29325
311,3900258.859475
312,3116027.83376667
313,4541798.96416666
314,3224157.574975
315,3263861.20374167
316,2565852.1162
317,4472157.12858333
318,5956499.43285834
319,3513295.374375
320,3742902.14764167
321,3484061.71084167
322,4311462.40768333
323,6505915.97531666
324,4321492.48541666
325,3801064.34065834
326,5677557.13045834
327,4582561.16655834
328,4633487.814975
329,6174794.27830834
330,4811291.02725833
331,6594222.25481666
332,4944162.113675
333,6303775.68466666
334,6029753.21886666
335,4704254.28033333
336,3184130.94651667
337,4923835.65215834
338,4070902.52074167
339,3202003.09321667
340,5193758.98330834
341,4859362.67331667
342,5195418.04303333
343,5219137.90959167
344,7484902.72960834
345,4151003.44590001
346,3578295.91935
347,5484767.4001
348,2941096.415125
349,6891911.98398334
350,4364868.07938333
351,7694473.60513334
352,5677084.23745
353,3315854.108775
354,3711112.32951667
355,4273246.83736667
356,5514751.23462501
357,4929385.17234167
358,4935066.31910833
359,5116769.14074167
360,4861027.65534167
361,5685001.6604
362,4055544.37514167
363,4666877.89199166
364,7559825.12224999
365,3574610.91081667
366,2861883.00814166
367,3931760.61385
368,3984374.54576667
369,7246409.81159167
370,4489664.48418334
371,4561864.96005833
372,7572570.27323334
373,6872964.71544166
374,3469475.77664167
375,4883924.89866667
376,3959173.8995
377,3630637.759525
378,5863592.98597499
379,4880073.92211667
380,5219386.60493333
381,4170880.71265833
382,3324522.176525
383,5939739.60858333
384,3825423.0392
385,6101134.07162499
386,3582409.294475
387,4880193.55468333
388,4675398.7657
389,4757325.35088334
390,7397188.36435001
391,3414969.67763333
392,3267708.13620834
393,5776563.60670833
394,6178658.02434167
395,2840362.72676667
396,5567302.71466667
397,6958993.53324167
398,8448690.83254167
399,5255783.74793333
400,3554637.61610833
401,5111211.74775833
402,3503334.564275
403,6632262.65165833
404,3454049.64699167
405,4413010.67733333
406,4471767.52447501
407,4423979.069625
408,2624029.65105833
409,3863540.163775
410,3500745.3515
411,3555049.51028334
412,4821198.711975
413,5983894.97024166
414,5547881.67310834
415,3698791.00955
416,6261366.13086667
417,2591081.28231667
418,4051148.57748333
419,3035225.39321667
420,4561169.49485834
421,5026928.65253333
422,7408748.03056667
423,3795163.667425
424,5149460.92190833
425,4796763.29690834
426,4539527.65512499
427,3575847.83518333
428,4881880.449425
429,3380468.800475
430,3725488.63500833
431,4299347.695375
432,2463172.734625
433,4087023.32039167
434,3349544.85355834
435,4913376.4089
