id,Prediction
0,4084562.68831162
1,3283095.5090597
2,3007527.86898372
3,3144687.81249662
4,3845254.64996437
5,3929538.39853416
6,4497621.93579827
7,3562869.51007672
8,5192678.20894522
9,2529811.07478216
10,4740150.32692089
11,4102839.50457572
12,3615884.69595248
13,4107944.66531115
14,4186893.38530825
15,4519148.53413404
16,5661596.10140513
17,2978121.28431109
18,5096457.81372195
19,3458813.63082314
20,3068794.13756797
21,3606961.89574443
22,4176959.38101869
23,4144210.2709053
24,6462912.81391409
25,3604283.34962569
26,3363027.15313159
27,4671653.38332953
28,3258451.22329207
29,4979751.60106914
30,6822391.16842741
31,2589951.91999118
32,3041140.96277781
33,5130507.80974879
34,3283449.52507082
35,3796165.53901115
36,3473093.00036061
37,6755338.22964814
38,3293352.20042164
39,2678309.6085436
40,5387997.00537079
41,4411529.12016378
42,4158734.16141263
43,4539169.95176389
44,5134414.71912812
45,3664514.23255339
46,4461028.26640256
47,2597388.25949541
48,4207509.9254335
49,4325789.28133724
50,3417304.29838248
51,3407113.86489886
52,4190972.36891342
53,2732459.87231938
54,3422916.74277439
55,4335338.37759476
56,7116708.4417722
57,4001384.59310629
58,4510867.37617754
59,4791776.06102619
60,3315917.03125242
61,3400740.16233257
62,4772098.43894208
63,3544746.84168146
64,5233782.97015871
65,4648678.05089011
66,4036899.01735473
67,5989283.03211651
68,5957303.41727119
69,4574601.15642269
70,4026656.87383671
71,3274954.67263741
72,3890622.99137085
73,3047927.38506367
74,4081497.24062794
75,4041909.52809577
76,3747879.96267773
77,3557743.47649723
78,3999557.79903083
79,3755179.37204813
80,6002546.04536523
81,4541207.16808604
82,6121436.21095523
83,5181429.43738928
84,5380482.83470185
85,2750911.32586044
86,3722825.56414794
87,4293144.84618564
88,3308176.01255278
89,3620791.03311343
90,4938290.50668609
91,4103444.55700302
92,3608434.50239147
93,5061278.01250411
94,4858923.6145703
95,3140569.19699616
96,3803420.24348766
97,3731674.39575857
98,3848940.73377656
99,4644172.47107748
100,4204277.81250293
101,3112168.48539057
102,3771141.39081779
103,3334091.17147464
104,3816549.9897328
105,2958287.99761499
106,3625944.01934601
107,4643953.69715585
108,3895375.08287293
109,4400204.57190909
110,4277863.3097959
111,5851424.75829906
112,5128484.57227245
113,4563079.97607229
114,4446927.044683
115,4286732.07154442
116,3255113.74799671
117,6075578.61384913
118,3746389.13625865
119,3593640.03602497
120,4631123.00367714
121,3893689.12263054
122,4218339.27981303
123,5297273.34585682
124,3001262.08828164
125,3818508.45683519
126,5490280.8873564
127,3304214.53387338
128,5309633.52376098
129,6294793.70832908
130,3103300.95122932
131,6847947.0194113
132,3743574.26211629
133,3851667.95448736
134,4568703.28533379
135,5102596.64014446
136,4386553.64691801
137,3325084.39888568
138,8478178.16566091
139,3920030.22154872
140,8058663.14274254
141,3030499.45520088
142,4543364.14189398
143,2850383.9751754
144,5257762.65788829
145,3659633.47768437
146,3338902.21231218
147,3548366.52970518
148,3625541.83408634
149,4738663.1625097
150,4250278.51397022
151,3338258.03198951
152,4582334.90071377
153,6339552.56188899
154,3521128.8800319
155,4624887.10391167
156,4197587.99692895
157,3974891.57186127
158,4159228.55502822
159,3458107.66574147
160,2929130.41528058
161,3974561.1724697
162,3805491.34414341
163,3898415.08769541
164,5702844.47453728
165,2656701.3939967
166,3839890.41412943
167,3393203.13972079
168,3986824.67707125
169,5637732.29052794
170,3493415.36762212
171,2945868.51697003
172,3109725.6681453
173,4303640.54276194
174,4953311.9307968
175,2919551.72169593
176,4848787.10510671
177,3774891.48182377
178,4382138.19105916
179,3127250.31819144
180,4607160.85820471
181,3834438.43616411
182,3763136.99560285
183,4457361.72799082
184,5465507.66573666
185,3387410.62208512
186,3448173.20511019
187,5189527.48281148
188,4394173.40191457
189,4011085.86050295
