id,Prediction
0,3881800.47830017
1,3532521.33588738
2,3039649.3609661
3,2910277.19166694
4,2949823.78112902
5,4191099.33745378
6,3812116.05040906
7,3154980.17759001
8,4364011.43957816
9,3874035.8392565
10,4179655.75933267
11,4114223.3140821
12,4327228.39236025
13,4182839.49530542
14,3862188.41644435
15,4259860.78785159
16,4506429.98137602
17,2988637.44731375
18,4500800.35945317
19,3163620.17331215
20,2745786.55244484
21,4117125.93043407
22,4083023.8830951
23,4522076.05257157
24,4455208.97098666
25,3588960.29650516
26,3478914.96970821
27,4199219.94284343
28,2993938.52083894
29,4140109.12463292
30,3494170.47857635
31,2953344.25590975
32,3198815.21897132
33,4326549.36196087
34,2935237.75404723
35,3874973.75092944
36,3329830.42266805
37,4142207.44694631
38,3421939.64588365
39,3295427.10853542
40,4219070.53191938
41,4269710.24741892
42,4364936.91005117
43,4253918.72338091
44,4696711.55082579
45,3928765.19969926
46,3026127.2896715
47,2760161.45688541
48,4465660.13044898
49,3611755.20813607
50,4164443.95225898
51,3146820.19826284
52,4102796.06699771
53,2878122.2192975
54,3504515.1250775
55,4114811.05707734
56,4702415.47515907
57,3223356.20127662
58,4130860.20364937
59,4433156.82430922
60,2986258.41808492
61,3719019.82669423
62,3985946.34355053
63,3799317.79138613
64,4317291.64945093
65,4549438.25308978
66,4149704.27742782
67,4624428.60544244
68,4511244.04689096
69,4136273.11696365
70,3793361.3891894
71,2986601.89137678
72,4104458.52674045
73,3479331.85330136
74,4396527.90546914
75,4060105.29491085
76,4287021.94152719
77,3357148.61912616
78,4215860.19272549
79,3967174.41025851
80,4810614.32606098
81,3806260.34154219
82,3597773.9656374
83,4098973.48269018
84,4460899.20658138
85,2645123.64636177
86,3968367.90646404
87,3938592.93942996
88,4020251.59514614
89,3199531.47705251
90,4523648.20552201
91,3955826.1437044
92,3523149.93931712
93,3368148.71465559
94,4347199.63415695
95,3187274.958045
96,3984092.77693335
97,4008338.18219021
98,3845235.11599905
99,4167903.36964146
100,3902081.34302161
101,3254975.08745996
102,3238689.5495201
103,3147329.72466019
104,3736733.25381247
105,3476371.07676231
106,4125220.29000376
107,4191368.34856878
108,4206117.72586829
109,4318135.0791076
110,4460805.4124829
111,3452499.42217059
112,4234132.23134205
113,4185983.40488101
114,3820412.73871113
115,4270603.19609291
116,2934094.28427509
117,4474904.87580958
118,3624916.31287743
119,4287403.41794695
120,4421505.4177945
121,4333593.15036333
122,3716880.59349626
123,4517199.0162416
124,2839483.98708609
125,4020742.97495807
126,4347255.72993194
127,3560004.86889104
128,3316573.18867738
129,4141419.39495135
130,2958657.35184346
131,4282547.83410569
132,4550300.14843144
133,3563029.21867494
134,4166936.39485486
135,3721246.24105718
136,3578605.25616735
137,4018869.32067783
138,3379004.3967019
139,4138195.51857212
140,4718296.10073726
141,2839334.09193067
142,4149269.35146946
143,3092021.01399137
144,4041527.75905772
145,3758107.60474271
146,4200498.83854862
147,3463670.98673149
148,4095751.91262806
149,4191111.75330589
150,3869726.99068309
151,3640567.76110172
152,4212601.21876193
153,4557107.08314701
154,3556338.05578085
155,4471183.06664012
156,4634637.5428183
157,4283157.92762274
158,3322240.98769525
159,3752766.72346214
160,2971529.10009836
161,4052211.51272023
162,3766736.45421381
163,4406691.17761615
164,4804056.77857681
165,3169306.56942715
166,4313094.63396551
167,3092340.71550569
168,3685268.66466097
169,4354866.46530162
170,3836044.9815887
171,2964685.56514542
172,3268694.52354325
173,3948420.93012739
174,3847684.87662403
175,2849169.08828044
176,4648517.96339175
177,4093034.9819491
178,3883222.80557166
179,3207602.53413159
180,3959526.62519605
181,4073082.12494163
182,4433145.79600913
183,4082721.62404913
184,4207866.53077117
185,3441382.40573868
186,3852364.11249772
187,4412438.22702624
188,4681142.84525591
189,4427130.82930463
190,4046232.25425996
191,4486305.59606464
192,4523299.49044576
193,3108153.05603164
194,3731753.60434095
195,3975814.72313624
196,4115321.92251616
197,2926139.08451743
198,3232745.49137184
199,3804361.86812152
200,4000333.68448505
201,3052578.03267457
202,4144197.25934401
203,4017768.71435464
204,4392240.06139685
205,4117810.5005551
206,4277070.08355894
207,4125833.32048444
208,4003766.31534187
209,3649850.66900937
210,4335803.33323538
211,3994140.50961221
212,2897712.61458958
213,3198341.26749951
214,4725031.61730021
215,2640071.6509824
216,4168686.82719727
217,4195884.96700696
218,4004384.14653518
219,2806023.37061933
220,4530794.17668987
221,4255481.44217789
222,4443685.57969776
223,3772904.70974496
224,4251530.39776733
225,4053030.90117929
226,2959787.76467658
227,4616925.00399424
228,3086337.6476945
229,4198079.55241092
230,4200533.33481801
231,4642504.69731659
232,4407981.54807035
233,3943443.36205983
234,3183106.79130397
235,4259651.05153495
236,3905558.70434728
237,3537501.13149239
238,3531602.37219079
239,4172621.47476949
240,4070173.85413827
241,3832334.98527783
242,2925122.67834855
243,3964116.8079323
244,4351116.20444173
245,4372451.84759852
246,3687636.4308612
247,4175801.32088344
248,4122295.78886771
249,4069844.11050866
250,3056480.06813944
251,4289261.55254852
252,4822395.47312743
253,3868573.99116715
254,4006097.57306506
255,3360231.84544115
256,3768224.77497772
257,3976943.00193632
258,3555935.62668266
259,3918266.2412135
260,3897029.73014229
261,3217179.48451396
262,4759685.11384842
263,3796999.93764374
264,2715038.64189807
265,4532962.42510352
266,3999364.69697519
267,4703673.37719215
268,4381660.05605938
269,3768700.77731987
270,3723010.30498495
271,2862875.7155522
272,4346400.5800494
273,4346558.3883181
274,3742343.40754932
275,4487982.73741449
276,4656757.36751922
277,4050641.81934408
278,4302431.7220665
279,3816168.80209383
280,4310653.39738472
281,3290222.38022982
282,3159129.23665845
283,3928416.7608029
284,4275990.7750659
285,2912374.85737173
286,4543256.15170114
287,3998037.21750699
288,4107559.8701669
289,3379814.15142752
290,4051728.24034281
291,4061592.58498588
292,3008410.35097891
293,4092945.58765775
294,3680720.79245896
295,4316827.64322234
296,4080389.17903798
297,4392509.89075297
298,3791079.65088656
299,4214520.22170382
300,4187444.00355282
301,4326860.97692193
302,4333379.55079984
303,4240096.10686827
304,4195744.17912983
305,4288405.1860488
306,3687328.6843098
307,4176575.03766593
308,2671993.12644211
309,4005004.30736555
310,4263148.2528741
311,3574945.43961136
312,3180499.97163537
313,4119062.30942087
314,3048982.05093151
315,3203469.30586965
316,2851522.78538434
317,3973447.76241273
318,4477230.74270856
319,3227837.46433518
320,3506059.77710859
321,2959099.20591591
322,4048186.78830573
323,4311784.41804305
324,4259801.70010898
325,3282179.88223781
326,4333251.22590186
327,4213954.48268669
