id,Prediction
0,3831036.58147881
1,3406358.78206707
2,2934263.2622337
3,2958610.62504908
4,3052086.90096415
5,4207268.76171286
6,3887364.98744471
7,2953310.91473089
8,4348208.25162188
9,3799500.02521672
10,4281257.43577936
11,4369112.26736168
12,4165536.26431167
13,4177531.69686707
14,3982346.10971055
15,4232469.38156972
16,4257493.75670853
17,3305627.02975448
18,4726692.14821157
19,3139408.5398067
20,2440634.4904471
21,4328151.69879082
22,4166970.0298039
23,4583026.18733345
24,4385681.30386159
25,3630725.73594833
26,3466519.27073806
27,4440060.69319525
28,2897121.968306
29,4374502.93833398
30,3441103.70958939
31,2954312.36483044
32,2932476.33534218
33,4429597.75038976
34,2662540.97832122
35,4113339.1230186
36,3591985.11424942
37,4227458.80532699
38,3341310.89612695
39,3322448.26585643
40,4376600.61586271
41,4372474.15419185
42,4421251.971107
43,4469706.94207952
44,4807990.42958258
45,3863970.2999978
46,2991149.11674783
47,2518400.43582078
48,4474517.39905251
49,3816665.28044189
50,3980494.99645911
51,3052560.91734117
52,4375370.4585227
53,2731041.09363148
54,3477724.01635054
55,4120750.74636255
56,5159120.87212665
57,3291484.00567624
58,4197889.50237022
59,4755803.63326803
60,2743177.30821521
61,3595766.13291657
62,4011944.43343631
63,3835672.16134689
64,4472792.86265258
65,4850749.16873286
66,4301306.60802789
67,5044208.12613114
68,4610052.76822365
69,4357258.2090175
70,3881335.70682756
71,2694900.58504278
72,4254170.14820001
73,3906534.52395448
74,4548478.99533746
75,4046518.16426038
76,4345507.78863044
77,3577050.66007809
78,4430077.25385178
79,4048317.71554072
80,4881758.4734466
81,4261472.43796112
82,3611502.29845178
83,4121112.04755163
84,4527141.76798118
85,2306723.08967797
86,4206796.34820369
87,4308219.02601435
88,4039017.4251329
89,3161315.87355117
90,4624230.68432339
91,3890177.96912354
92,3681374.79483168
93,3178725.98582378
94,4650912.68253111
95,2994570.62112235
96,4189887.94122656
97,4380480.7971726
98,3888284.15011399
99,4369810.23570369
100,3995254.94571456
101,3041096.96746448
102,3351779.87852659
103,3343053.00950636
104,3783163.81084376
105,3401760.86943181
106,4140026.22733515
107,4549288.31071667
108,4374149.7859282
109,4434316.34671828
110,4762210.83779176
111,3533075.98785396
112,4175800.53323838
113,4401547.91323911
114,3765751.92627473
115,4215523.0597547
116,3026126.05372929
117,4542850.10492312
118,3758534.48393579
119,4349073.92551592
120,4612592.09667723
121,4480042.87089989
122,3885006.16165693
123,4767074.11885296
124,2661696.32486491
125,3917814.25058591
126,4731875.35916451
127,3638707.96550045
128,3371939.19261675
129,4136344.8830329
130,2611861.68194854
131,4472253.09435136
132,4591137.37273121
133,3450544.52026299
134,4240523.58641822
135,3827383.45224885
136,3652928.20976246
137,3948428.16550606
138,3503040.09997559
139,4286040.42127317
140,5071215.96968172
141,2633342.56107061
142,4274115.42792255
143,2870408.00594635
144,4320234.82700491
145,3740691.01183929
146,4471673.5185988
147,3409321.14888175
148,3919158.45623003
149,4411458.58125191
150,3926979.17398865
151,2971517.7230459
152,4308064.40030394
153,4719697.29332682
154,3416197.25094662
155,4749835.61589099
156,4661192.7811785
157,4202399.9530632
158,3237284.9300945
159,3910037.67689417
160,2738244.63452224
161,4064171.60715266
162,3728403.48498898
163,4358542.37291182
164,5166138.11714176
165,2923422.90912511
166,4172232.73252112
167,3165721.89282796
168,3930497.08473372
169,4473622.03044356
170,3916871.85229586
171,2993490.27411114
172,3279611.75115071
