"Id","Prediction"
0,Inf
1,Inf
2,Inf
3,Inf
4,Inf
5,Inf
6,Inf
7,Inf
8,Inf
9,Inf
10,Inf
11,Inf
12,Inf
13,Inf
14,Inf
15,Inf
16,Inf
17,Inf
18,Inf
19,Inf
20,Inf
21,Inf
22,Inf
23,Inf
24,Inf
25,Inf
26,Inf
27,Inf
28,Inf
29,Inf
30,Inf
31,Inf
32,Inf
33,Inf
34,Inf
35,Inf
36,Inf
37,Inf
38,Inf
39,Inf
40,Inf
41,Inf
42,Inf
43,Inf
44,Inf
45,Inf
46,Inf
47,Inf
48,Inf
49,Inf
50,Inf
51,Inf
52,Inf
53,Inf
54,Inf
55,Inf
56,Inf
57,Inf
58,Inf
59,Inf
60,Inf
61,Inf
62,Inf
63,Inf
64,Inf
65,Inf
66,Inf
67,Inf
68,Inf
69,Inf
70,Inf
71,Inf
72,Inf
73,Inf
74,Inf
75,Inf
76,Inf
77,Inf
78,Inf
79,Inf
80,Inf
81,Inf
82,Inf
83,Inf
84,Inf
85,Inf
86,Inf
87,Inf
88,Inf
89,Inf
90,Inf
91,Inf
92,Inf
93,Inf
94,Inf
95,Inf
96,Inf
97,Inf
98,Inf
99,Inf
100,Inf
101,Inf
102,Inf
103,Inf
104,Inf
105,Inf
106,Inf
107,Inf
108,Inf
109,Inf
110,Inf
111,Inf
112,Inf
113,Inf
114,Inf
115,Inf
116,Inf
117,Inf
118,Inf
119,Inf
120,Inf
121,Inf
122,Inf
123,Inf
124,Inf
125,Inf
126,Inf
127,Inf
128,Inf
129,Inf
130,Inf
131,Inf
132,Inf
133,Inf
134,Inf
135,Inf
136,Inf
137,Inf
138,Inf
139,Inf
140,Inf
141,Inf
142,Inf
143,Inf
144,Inf
145,Inf
146,Inf
147,Inf
148,Inf
149,Inf
150,Inf
151,Inf
152,Inf
153,Inf
154,Inf
155,Inf
156,Inf
157,Inf
158,Inf
159,Inf
160,Inf
161,Inf
162,Inf
163,Inf
164,Inf
165,Inf
166,Inf
167,Inf
168,Inf
169,Inf
170,Inf
171,Inf
172,Inf
173,Inf
174,Inf
175,Inf
176,Inf
177,Inf
178,Inf
179,Inf
180,Inf
181,Inf
182,Inf
183,Inf
184,Inf
185,Inf
186,Inf
187,Inf
188,Inf
189,Inf
190,Inf
191,Inf
192,Inf
193,Inf
194,Inf
195,Inf
196,Inf
197,Inf
198,Inf
199,Inf
200,Inf
201,Inf
202,Inf
203,Inf
204,Inf
205,Inf
206,Inf
207,Inf
208,Inf
209,Inf
210,Inf
211,Inf
212,Inf
213,Inf
214,Inf
215,Inf
216,Inf
217,Inf
218,Inf
219,Inf
220,Inf
221,Inf
222,Inf
223,Inf
224,Inf
225,Inf
226,Inf
227,Inf
228,Inf
229,Inf
230,Inf
231,Inf
232,Inf
233,Inf
234,Inf
235,Inf
236,Inf
237,Inf
238,Inf
239,Inf
240,Inf
241,Inf
242,Inf
243,Inf
244,Inf
245,Inf
246,Inf
247,Inf
248,Inf
249,Inf
250,Inf
251,Inf
252,Inf
253,Inf
254,Inf
255,Inf
256,Inf
257,Inf
258,Inf
259,Inf
260,Inf
261,Inf
262,Inf
263,Inf
264,Inf
265,Inf
266,Inf
267,Inf
268,Inf
269,Inf
270,Inf
271,Inf
272,Inf
273,Inf
274,Inf
275,Inf
276,Inf
277,Inf
278,Inf
279,Inf
280,Inf
281,Inf
282,Inf
283,Inf
284,Inf
285,Inf
286,Inf
287,Inf
288,Inf
289,Inf
290,Inf
291,Inf
292,Inf
293,Inf
294,Inf
295,Inf
296,Inf
297,Inf
298,Inf
299,Inf
300,Inf
301,Inf
302,Inf
303,Inf
304,Inf
305,Inf
306,Inf
307,Inf
308,Inf
309,Inf
310,Inf
311,Inf
312,Inf
313,Inf
314,Inf
315,Inf
316,Inf
317,Inf
318,Inf
319,Inf
320,Inf
321,Inf
322,Inf
323,Inf
324,Inf
325,Inf
326,Inf
327,Inf
328,Inf
329,Inf
330,Inf
331,Inf
332,Inf
333,Inf
334,Inf
335,Inf
336,Inf
337,Inf
338,Inf
339,Inf
340,Inf
341,Inf
342,Inf
343,Inf
344,Inf
345,Inf
346,Inf
347,Inf
348,Inf
349,Inf
350,Inf
351,Inf
352,Inf
353,Inf
354,Inf
355,Inf
356,Inf
357,Inf
358,Inf
359,Inf
360,Inf
361,Inf
362,Inf
363,Inf
364,Inf
365,Inf
366,Inf
367,Inf
368,Inf
369,Inf
370,Inf
371,Inf
372,Inf
373,Inf
374,Inf
375,Inf
376,Inf
377,Inf
378,Inf
379,Inf
380,Inf
381,Inf
382,Inf
383,Inf
384,Inf
385,Inf
386,Inf
387,Inf
388,Inf
389,Inf
390,Inf
391,Inf
392,Inf
393,Inf
394,Inf
395,Inf
396,Inf
397,Inf
398,Inf
399,Inf
400,Inf
401,Inf
402,Inf
403,Inf
404,Inf
405,Inf
406,Inf
407,Inf
408,Inf
409,Inf
410,Inf
411,Inf
412,Inf
413,Inf
414,Inf
415,Inf
416,Inf
417,Inf
418,Inf
419,Inf
420,Inf
421,Inf
422,Inf
423,Inf
424,Inf
425,Inf
426,Inf
427,Inf
428,Inf
429,Inf
430,Inf
431,Inf
432,Inf
433,Inf
434,Inf
435,Inf
436,Inf
437,Inf
438,Inf
439,Inf
440,Inf
441,Inf
442,Inf
443,Inf
444,Inf
445,Inf
446,Inf
447,Inf
448,Inf
449,Inf
450,Inf
451,Inf
452,Inf
453,Inf
454,Inf
455,Inf
456,Inf
457,Inf
458,Inf
459,Inf
460,Inf
461,Inf
462,Inf
463,Inf
464,Inf
465,Inf
466,Inf
467,Inf
468,Inf
469,Inf
470,Inf
471,Inf
472,Inf
473,Inf
474,Inf
475,Inf
476,Inf
477,Inf
478,Inf
479,Inf
480,Inf
481,Inf
482,Inf
483,Inf
484,Inf
485,Inf
486,Inf
487,Inf
488,Inf
489,Inf
490,Inf
491,Inf
492,Inf
493,Inf
494,Inf
495,Inf
496,Inf
497,Inf
498,Inf
499,Inf
500,Inf
501,Inf
502,Inf
503,Inf
504,Inf
505,Inf
506,Inf
507,Inf
508,Inf
509,Inf
510,Inf
511,Inf
512,Inf
513,Inf
514,Inf
515,Inf
516,Inf
517,Inf
518,Inf
519,Inf
520,Inf
521,Inf
522,Inf
523,Inf
524,Inf
525,Inf
526,Inf
527,Inf
528,Inf
529,Inf
530,Inf
531,Inf
532,Inf
533,Inf
534,Inf
535,Inf
536,Inf
537,Inf
538,Inf
539,Inf
540,Inf
541,Inf
542,Inf
543,Inf
544,Inf
545,Inf
546,Inf
547,Inf
548,Inf
549,Inf
550,Inf
551,Inf
552,Inf
553,Inf
554,Inf
555,Inf
556,Inf
557,Inf
558,Inf
559,Inf
560,Inf
561,Inf
562,Inf
563,Inf
564,Inf
565,Inf
566,Inf
567,Inf
568,Inf
569,Inf
570,Inf
571,Inf
572,Inf
573,Inf
574,Inf
575,Inf
576,Inf
577,Inf
578,Inf
579,Inf
580,Inf
581,Inf
582,Inf
583,Inf
584,Inf
585,Inf
586,Inf
587,Inf
588,Inf
589,Inf
590,Inf
591,Inf
592,Inf
593,Inf
594,Inf
595,Inf
596,Inf
597,Inf
598,Inf
599,Inf
600,Inf
601,Inf
602,Inf
603,Inf
604,Inf
605,Inf
606,Inf
607,Inf
608,Inf
609,Inf
610,Inf
611,Inf
612,Inf
613,Inf
614,Inf
615,Inf
616,Inf
617,Inf
618,Inf
619,Inf
620,Inf
621,Inf
622,Inf
623,Inf
624,Inf
625,Inf
626,Inf
627,Inf
628,Inf
629,Inf
630,Inf
631,Inf
632,Inf
633,Inf
634,Inf
635,Inf
636,Inf
637,Inf
638,Inf
639,Inf
640,Inf
641,Inf
642,Inf
643,Inf
644,Inf
645,Inf
646,Inf
647,Inf
648,Inf
649,Inf
650,Inf
651,Inf
652,Inf
653,Inf
654,Inf
655,Inf
656,Inf
657,Inf
658,Inf
659,Inf
660,Inf
661,Inf
662,Inf
663,Inf
664,Inf
665,Inf
666,Inf
667,Inf
668,Inf
669,Inf
670,Inf
671,Inf
672,Inf
673,Inf
674,Inf
675,Inf
676,Inf
677,Inf
678,Inf
679,Inf
680,Inf
681,Inf
682,Inf
683,Inf
684,Inf
685,Inf
686,Inf
687,Inf
688,Inf
689,Inf
690,Inf
691,Inf
692,Inf
693,Inf
694,Inf
695,Inf
696,Inf
697,Inf
698,Inf
699,Inf
700,Inf
701,Inf
702,Inf
703,Inf
704,Inf
705,Inf
706,Inf
707,Inf
708,Inf
709,Inf
710,Inf
711,Inf
712,Inf
713,Inf
714,Inf
715,Inf
716,Inf
717,Inf
718,Inf
719,Inf
720,Inf
721,Inf
722,Inf
723,Inf
724,Inf
725,Inf
726,Inf
727,Inf
728,Inf
729,Inf
730,Inf
731,Inf
732,Inf
733,Inf
734,Inf
735,Inf
736,Inf
737,Inf
738,Inf
739,Inf
740,Inf
741,Inf
742,Inf
743,Inf
744,Inf
745,Inf
746,Inf
747,Inf
748,Inf
749,Inf
750,Inf
751,Inf
752,Inf
753,Inf
754,Inf
755,Inf
756,Inf
757,Inf
758,Inf
759,Inf
760,Inf
761,Inf
762,Inf
763,Inf
764,Inf
765,Inf
766,Inf
767,Inf
768,Inf
769,Inf
770,Inf
771,Inf
772,Inf
773,Inf
774,Inf
775,Inf
776,Inf
777,Inf
778,Inf
779,Inf
780,Inf
781,Inf
782,Inf
783,Inf
784,Inf
785,Inf
786,Inf
787,Inf
788,Inf
789,Inf
790,Inf
791,Inf
792,Inf
793,Inf
794,Inf
795,Inf
796,Inf
797,Inf
798,Inf
799,Inf
800,Inf
801,Inf
802,Inf
803,Inf
804,Inf
805,Inf
806,Inf
807,Inf
808,Inf
809,Inf
810,Inf
811,Inf
812,Inf
813,Inf
814,Inf
815,Inf
816,Inf
817,Inf
818,Inf
819,Inf
820,Inf
821,Inf
822,Inf
823,Inf
824,Inf
825,Inf
