Id,Prediction
1,0.033
2,0.967
3,0.033
4,0.967
5,0.965
6,0.035
7,0.041
8,0.959
9,0.033
10,0.967
11,0.041
12,0.959
13,0.033
14,0.967
15,0.975
16,0.025
17,0.972
18,0.028
19,0.975
20,0.025
21,0.046
22,0.954
23,0.975
24,0.025
25,0.965
26,0.035
27,0.046
28,0.954
29,0.041
30,0.959
31,0.968
32,0.032
33,0.968
34,0.032
35,0.041
36,0.959
37,0.975
38,0.025
39,0.046
40,0.954
41,0.965
42,0.035
43,0.046
44,0.954
45,0.972
46,0.028
47,0.975
48,0.025
49,0.046
50,0.954
51,0.033
52,0.967
53,0.033
54,0.967
55,0.046
56,0.954
57,0.965
58,0.035
59,0.046
60,0.954
61,0.968
62,0.032
63,0.033
64,0.967
65,0.975
66,0.025
67,0.965
68,0.035
69,0.046
70,0.954
71,0.041
72,0.959
73,0.033
74,0.967
75,0.975
76,0.025
77,0.033
78,0.967
79,0.037
80,0.963
81,0.046
82,0.954
83,0.975
84,0.025
85,0.975
86,0.025
87,0.965
88,0.035
89,0.972
90,0.028
91,0.965
92,0.035
93,0.965
94,0.035
95,0.041
96,0.959
97,0.037
98,0.963
99,0.968
100,0.032
101,0.975
102,0.025
103,0.968
104,0.032
105,0.046
106,0.954
107,0.041
108,0.959
109,0.033
110,0.967
111,0.041
112,0.959
113,0.975
114,0.025
115,0.037
116,0.963
117,0.041
118,0.959
119,0.975
120,0.025
121,0.033
122,0.967
123,0.972
124,0.028
125,0.046
126,0.954
127,0.041
128,0.959
129,0.033
130,0.967
131,0.975
132,0.025
133,0.975
134,0.025
135,0.975
136,0.025
137,0.046
138,0.954
139,0.033
140,0.967
141,0.033
142,0.967
143,0.046
144,0.954
145,0.037
146,0.963
147,0.041
148,0.959
149,0.975
150,0.025
151,0.968
152,0.032
153,0.975
154,0.025
155,0.046
156,0.954
157,0.037
158,0.963
159,0.033
160,0.967
161,0.968
162,0.032
163,0.033
164,0.967
165,0.975
166,0.025
167,0.965
168,0.035
169,0.975
170,0.025
171,0.033
172,0.967
173,0.041
174,0.959
175,0.046
176,0.954
177,0.975
178,0.025
179,0.046
180,0.954
181,0.975
182,0.025
183,0.965
184,0.035
185,0.041
186,0.959
187,0.975
188,0.025
189,0.975
190,0.025
191,0.968
192,0.032
193,0.041
194,0.959
195,0.037
196,0.963
197,0.033
198,0.967
199,0.041
200,0.959
201,0.972
202,0.028
203,0.033
204,0.967
205,0.972
206,0.028
207,0.965
208,0.035
209,0.965
210,0.035
211,0.033
212,0.967
213,0.968
214,0.032
215,0.972
216,0.028
217,0.972
218,0.028
219,0.975
